Age,Gender,Income,Location,Clicks,Conversion Rate,CTR,Click_Hour,Click_DayOfWeek,Click_Month,Ad Type_Banner,Ad Type_Native,Ad Type_Text,Ad Type_Video,Ad Topic_Fashion,Ad Topic_Finance,Ad Topic_Food,Ad Topic_Health,Ad Topic_Technology,Ad Topic_Travel,Ad Placement_Search Engine,Ad Placement_Social Media,Ad Placement_Website
57.0,0,29682.04,0,10,0.119,0.0538,20,3,12,False,False,False,True,False,False,False,False,True,False,True,False,False
31.0,1,58803.46,2,7,0.0919,0.0716,20,0,6,False,False,False,True,False,True,False,False,False,False,True,False,False
39.0,1,83984.08,1,2,0.2154,0.071,20,2,3,False,True,False,False,False,False,True,False,False,False,True,False,False
22.0,1,84372.99,1,5,0.1317,0.0536,20,0,9,False,True,False,False,False,False,True,False,False,False,False,False,True
34.0,0,61366.34,2,6,0.0768,0.0417,20,3,1,True,False,False,False,False,False,False,True,False,False,True,False,False
44.0,1,64462.59,1,5,0.2373,0.1022,20,4,10,True,False,False,False,False,False,True,False,False,False,False,False,True
47.0,0,51481.84,2,4,0.0358,0.0543,20,3,6,False,True,False,False,False,False,False,True,False,False,True,False,False
23.0,0,43155.09,0,4,0.1346,0.0559,20,4,11,False,False,False,True,False,False,False,False,True,False,False,True,False
69.0,0,40065.86,0,1,0.2226,0.048,20,4,3,False,True,False,False,False,False,False,False,True,False,False,True,False
36.0,0,64109.49,2,5,0.0773,0.0111,20,4,8,False,False,False,True,False,True,False,False,False,False,False,False,True
35.0,1,76422.96,2,8,0.3863,0.0466,20,2,3,True,False,False,False,True,False,False,False,False,False,False,False,True
32.0,1,55448.78,1,6,0.5843,0.0777,20,2,10,False,True,False,False,False,False,False,True,False,False,False,True,False
57.0,0,62817.58,0,4,0.1057,0.0547,20,6,8,False,True,False,False,False,False,True,False,False,False,False,False,True
57.0,1,30756.85,2,0,0.232,0.0508,20,0,9,True,False,False,False,False,False,False,False,False,True,False,True,False
37.0,1,43693.41,2,6,0.2854,0.0664,20,4,11,False,False,False,True,False,True,False,False,False,False,False,True,False
40.0,0,22501.59,1,4,0.2823,0.0538,20,4,3,True,False,False,False,False,False,False,False,False,True,False,True,False
21.0,0,63582.98,2,4,0.1279,0.0658,20,4,7,False,False,True,False,False,False,False,True,False,False,True,False,False
36.0,1,34118.46,1,7,0.21,0.0666,20,5,3,True,False,False,False,True,False,False,False,False,False,True,False,False
29.0,2,29809.49,1,7,0.1981,0.0401,20,5,10,False,True,False,False,False,True,False,False,False,False,True,False,False
37.0,0,22150.6,2,5,0.0864,0.0631,20,3,9,False,False,False,True,False,False,False,False,False,True,False,False,True
53.0,1,45947.1,0,5,0.0538,0.0303,20,4,11,False,False,False,True,False,False,False,True,False,False,False,False,True
53.0,1,51355.06,2,6,0.2863,0.058,20,4,10,True,False,False,False,True,False,False,False,False,False,True,False,False
29.0,0,46982.03,2,6,0.0427,0.0224,20,0,7,False,False,True,False,False,False,True,False,False,False,False,False,True
30.0,0,60828.37,0,3,0.4255,0.0391,20,6,1,False,False,True,False,False,True,False,False,False,False,True,False,False
19.0,0,64288.68,0,6,0.1025,0.0398,20,2,10,False,True,False,False,False,False,False,False,True,False,True,False,False
36.0,0,36588.14,2,4,0.3088,0.0669,20,3,11,False,False,False,True,False,False,False,False,True,False,False,False,True
36.0,1,23402.82,0,5,0.3478,0.0262,20,0,1,False,True,False,False,False,False,False,False,False,True,False,True,False
64.0,1,23174.34,0,3,0.071,0.0678,20,0,7,False,False,True,False,False,False,False,False,False,True,False,True,False
27.0,1,38731.09,1,4,0.2015,0.0658,20,4,9,False,True,False,False,False,False,False,False,False,True,False,True,False
28.0,0,44166.67,0,6,0.2729,0.051,20,6,9,False,True,False,False,True,False,False,False,False,False,False,False,True
36.0,1,65458.88,2,7,0.1489,0.0432,20,0,5,True,False,False,False,False,False,True,False,False,False,True,False,False
46.0,1,80284.95,0,2,0.1177,0.0342,20,2,8,False,False,True,False,False,False,False,True,False,False,False,True,False
36.0,1,49443.9,2,4,0.3132,0.0428,20,1,9,False,True,False,False,False,False,False,False,False,True,False,False,True
31.0,1,39963.08,1,8,0.2173,0.0266,20,6,8,False,True,False,False,False,True,False,False,False,False,False,True,False
21.0,1,62354.16,2,5,0.2819,0.0516,20,1,8,False,False,True,False,False,False,False,False,False,True,False,False,True
40.0,2,50849.01,1,5,0.1592,0.0306,20,2,6,False,False,False,True,False,False,False,False,False,True,True,False,False
27.0,1,55531.81,2,5,0.0983,0.0484,20,4,5,False,False,True,False,True,False,False,False,False,False,False,True,False
36.0,2,62807.1,0,7,0.3698,0.05,20,0,10,False,True,False,False,True,False,False,False,False,False,False,False,True
34.0,1,39949.18,2,1,0.2505,0.0315,20,3,1,False,True,False,False,False,True,False,False,False,False,True,False,False
41.0,0,61847.07,1,5,0.2261,0.0206,20,5,12,False,True,False,False,False,False,False,False,True,False,True,False,False
35.0,0,62957.24,2,3,0.2871,0.0664,20,2,5,True,False,False,False,True,False,False,False,False,False,False,True,False
39.0,0,19111.23,1,8,0.1673,0.0506,20,6,9,True,False,False,False,True,False,False,False,False,False,False,True,False
25.0,0,24840.5,0,3,0.2716,0.0402,20,1,4,True,False,False,False,False,False,False,False,False,True,True,False,False
29.0,2,75618.52,0,8,0.1348,0.0562,20,3,7,True,False,False,False,False,False,False,False,False,True,False,False,True
24.0,0,62707.68,2,6,0.1208,0.0495,20,6,7,False,False,False,True,True,False,False,False,False,False,False,True,False
29.0,0,58263.49,1,9,0.2912,0.0598,20,3,4,False,False,True,False,False,False,False,True,False,False,False,False,True
22.0,0,56317.49,2,6,0.1866,0.0598,20,5,7,False,False,True,False,False,False,True,False,False,False,False,False,True
36.0,0,73602.32,2,8,0.0731,0.036,20,1,7,False,False,False,True,False,False,False,False,False,True,True,False,False
37.0,1,40871.66,2,4,0.0723,0.0459,20,4,6,False,True,False,False,False,True,False,False,False,False,False,False,True
28.0,0,58183.05,0,1,0.0407,0.0187,20,0,12,True,False,False,False,False,False,False,False,False,True,False,False,True
36.0,1,20402.04,2,5,0.386,0.0342,20,2,4,True,False,False,False,False,False,True,False,False,False,False,False,True
41.0,1,75458.8,2,1,0.079,0.0303,20,5,9,False,False,False,True,False,False,True,False,False,False,False,True,False
21.0,1,33990.5,0,4,0.4223,0.04,20,3,7,False,True,False,False,False,False,False,False,True,False,False,True,False
35.0,0,41135.72,1,7,0.0189,0.0484,20,6,4,True,False,False,False,True,False,False,False,False,False,False,False,True
45.0,0,57373.69,2,1,0.1223,0.0077,20,5,3,False,False,False,True,False,False,False,False,True,False,True,False,False
36.0,1,65014.85,0,10,0.2394,0.0678,20,3,11,False,False,False,True,False,True,False,False,False,False,False,True,False
52.0,0,68853.82,2,3,0.0596,0.0254,20,3,7,True,False,False,False,True,False,False,False,False,False,True,False,False
36.0,1,82985.49,0,4,0.3877,0.043,20,2,9,True,False,False,False,False,False,False,False,True,False,False,True,False
41.0,1,19089.89,2,1,0.1403,0.0197,20,0,10,True,False,False,False,False,False,True,False,False,False,False,False,True
24.0,0,25319.53,0,6,0.1879,0.0253,20,3,7,False,False,True,False,False,True,False,False,False,False,False,True,False
21.0,1,31980.07,1,3,0.3858,0.0557,20,1,2,True,False,False,False,True,False,False,False,False,False,True,False,False
26.0,1,24529.2,0,6,0.4765,0.0567,20,2,6,True,False,False,False,False,False,False,True,False,False,True,False,False
30.0,0,48769.03,2,5,0.245,0.0835,20,5,10,False,False,False,True,True,False,False,False,False,False,False,True,False
35.0,2,87281.97,1,4,0.2179,0.053,20,3,11,False,False,False,True,False,False,True,False,False,False,False,False,True
36.0,2,43013.73,1,1,0.1695,0.0573,20,3,2,False,True,False,False,False,False,True,False,False,False,False,False,True
48.0,1,54347.78,2,6,0.2648,0.0544,20,3,3,False,True,False,False,True,False,False,False,False,False,True,False,False
41.0,2,1250.54,1,2,0.1896,0.0268,20,1,5,False,False,True,False,False,False,False,True,False,False,True,False,False
36.0,2,49232.54,1,4,0.1375,0.0437,20,6,4,True,False,False,False,True,False,False,False,False,False,True,False,False
57.0,1,44979.21,2,0,0.1081,0.0165,20,4,1,False,True,False,False,False,False,False,False,False,True,False,True,False
63.0,1,35720.87,0,5,0.2205,0.026,20,6,12,False,False,True,False,True,False,False,False,False,False,False,True,False
52.0,1,67818.54,0,5,0.245,0.0278,20,5,6,False,False,False,True,False,True,False,False,False,False,True,False,False
32.0,0,76733.48,1,3,0.0495,0.0794,20,3,8,True,False,False,False,False,False,False,True,False,False,False,False,True
18.0,1,48339.17,1,4,0.3176,0.037,20,6,8,False,True,False,False,False,False,False,False,False,True,False,True,False
50.0,1,100260.79,2,5,0.188,0.0674,20,3,4,False,True,False,False,True,False,False,False,False,False,True,False,False
28.0,1,51961.63,1,5,0.1723,0.0504,20,5,11,False,False,False,True,True,False,False,False,False,False,False,False,True
53.0,1,33027.18,1,4,0.3081,0.0236,20,3,1,False,True,False,False,False,True,False,False,False,False,True,False,False
38.0,0,59997.25,0,7,0.1605,0.0117,20,5,12,True,False,False,False,False,False,False,True,False,False,True,False,False
49.0,0,41810.76,1,6,0.1124,0.0682,20,6,8,False,False,True,False,True,False,False,False,False,False,True,False,False
40.0,0,60917.19,0,2,0.2183,0.0602,20,5,11,False,True,False,False,False,False,True,False,False,False,False,False,True
45.0,1,40275.68,1,5,0.0885,0.0535,20,3,9,False,False,True,False,False,True,False,False,False,False,False,False,True
35.0,0,9089.99,1,6,0.3752,0.0379,20,0,8,True,False,False,False,False,True,False,False,False,False,True,False,False
61.0,0,70786.39,1,2,0.0292,0.0705,20,2,1,False,True,False,False,False,False,False,True,False,False,False,False,True
36.0,0,52336.99,0,6,0.1221,0.1,20,1,9,False,True,False,False,False,False,False,False,False,True,False,True,False
41.0,1,15668.23,2,6,0.1326,0.0359,20,4,6,False,False,True,False,False,True,False,False,False,False,True,False,False
63.0,1,27858.24,2,7,0.0656,0.084,20,4,6,False,False,False,True,False,True,False,False,False,False,False,True,False
36.0,0,55036.75,1,6,0.0708,0.051,20,4,4,False,False,False,True,False,False,True,False,False,False,False,True,False
36.0,1,25102.63,0,3,0.2316,0.047,20,0,10,False,True,False,False,False,True,False,False,False,False,False,True,False
49.0,0,61179.65,1,5,0.1648,0.0558,20,6,1,False,False,False,True,False,False,False,False,False,True,False,False,True
36.0,2,85541.33,1,6,0.2446,0.0377,20,5,12,True,False,False,False,True,False,False,False,False,False,True,False,False
64.0,1,18081.34,2,5,0.3892,0.0208,20,1,3,False,False,False,True,False,False,False,False,True,False,True,False,False
28.0,0,80814.86,2,3,0.4125,0.0625,20,5,3,False,True,False,False,False,False,False,False,True,False,False,True,False
23.0,1,38205.39,1,5,0.2928,0.0659,20,2,8,False,True,False,False,False,False,False,True,False,False,False,False,True
63.0,0,13715.06,0,7,0.2759,0.0371,20,2,9,True,False,False,False,False,False,True,False,False,False,False,True,False
57.0,2,53396.39,0,9,0.2716,0.034,20,0,2,False,True,False,False,True,False,False,False,False,False,False,True,False
63.0,1,47409.79,0,4,0.053,0.025,20,2,12,True,False,False,False,True,False,False,False,False,False,False,True,False
48.0,2,60555.09,1,6,0.2151,0.0507,20,3,3,True,False,False,False,True,False,False,False,False,False,True,False,False
22.0,0,54892.26,2,7,0.1797,0.0652,20,3,8,True,False,False,False,False,False,False,False,False,True,True,False,False
63.0,0,43529.85,2,3,0.0988,0.0793,20,0,9,False,False,False,True,False,False,False,True,False,False,True,False,False
30.0,0,75123.72,2,6,0.0565,0.0523,20,2,10,False,False,False,True,False,True,False,False,False,False,False,False,True
47.0,0,65100.79,2,5,0.148,0.0608,20,2,10,False,False,False,True,False,False,True,False,False,False,False,True,False
49.0,1,53027.76,2,6,0.3582,0.0822,20,3,4,False,True,False,False,True,False,False,False,False,False,False,False,True
32.0,2,41570.32,2,8,0.1832,0.0748,20,1,2,False,True,False,False,False,False,False,False,True,False,False,True,False
44.0,1,66296.73,1,9,0.3795,0.0502,20,4,7,False,False,True,False,False,False,False,False,True,False,False,True,False
48.0,1,78603.46,2,7,0.1896,0.0525,20,6,2,False,False,True,False,False,False,False,False,True,False,True,False,False
40.0,0,52601.79,1,5,0.1757,0.0415,20,1,6,False,False,True,False,True,False,False,False,False,False,False,False,True
18.0,1,59207.78,2,3,0.1558,0.062,20,3,11,True,False,False,False,False,True,False,False,False,False,False,False,True
39.0,1,32601.22,2,4,0.1829,0.0249,20,5,9,True,False,False,False,False,False,False,False,True,False,False,False,True
54.0,1,49525.38,2,6,0.2495,0.0456,20,5,4,True,False,False,False,False,False,False,False,True,False,True,False,False
24.0,1,27523.28,2,4,0.2826,0.0427,20,5,11,False,False,True,False,False,False,False,True,False,False,False,True,False
32.0,2,52754.67,1,5,0.1387,0.0481,20,4,12,False,False,True,False,False,False,False,True,False,False,False,True,False
28.0,0,54883.59,1,6,0.4485,0.0375,20,2,3,True,False,False,False,False,True,False,False,False,False,False,False,True
62.0,0,15418.29,0,9,0.1383,0.0703,20,4,11,False,False,True,False,True,False,False,False,False,False,False,True,False
45.0,0,40055.2,0,3,0.4684,0.0523,20,2,6,True,False,False,False,False,False,True,False,False,False,False,True,False
41.0,0,76007.96,1,8,0.2614,0.0426,20,5,2,False,False,True,False,False,True,False,False,False,False,True,False,False
23.0,1,38639.97,1,4,0.2637,0.0454,20,4,2,True,False,False,False,True,False,False,False,False,False,False,True,False
43.0,0,61891.35,0,7,0.2266,0.0506,20,4,3,True,False,False,False,False,False,False,True,False,False,True,False,False
24.0,1,64885.02,2,9,0.1886,0.0569,20,5,9,False,False,True,False,False,False,False,True,False,False,False,True,False
35.0,1,44861.95,0,3,0.3215,0.0852,20,3,6,False,True,False,False,False,False,False,False,False,True,True,False,False
25.0,0,30298.96,2,3,0.1246,0.0284,20,6,3,False,True,False,False,False,False,False,True,False,False,False,False,True
45.0,1,54726.72,2,7,0.2797,0.0346,20,2,5,False,True,False,False,False,False,False,True,False,False,True,False,False
43.0,1,56708.49,0,7,0.0061,0.0492,20,6,7,False,False,False,True,False,False,False,False,False,True,False,False,True
31.0,1,9662.59,2,4,0.0404,0.0447,20,6,11,False,False,False,True,False,False,False,False,True,False,False,True,False
40.0,0,63083.44,2,8,0.0314,0.0704,20,5,1,False,False,False,True,False,False,False,True,False,False,False,True,False
18.0,1,52019.09,2,7,0.2714,0.0913,20,6,7,False,True,False,False,False,False,False,True,False,False,True,False,False
36.0,2,51594.96,2,2,0.2567,0.0821,20,6,2,False,False,False,True,False,False,True,False,False,False,True,False,False
41.0,2,82441.0,0,5,0.1362,0.0577,20,5,5,True,False,False,False,True,False,False,False,False,False,True,False,False
37.0,1,72557.72,2,2,0.0633,0.0464,20,5,10,False,True,False,False,False,False,True,False,False,False,True,False,False
44.0,1,81286.8,2,2,0.2082,0.0594,20,6,9,False,False,True,False,False,False,True,False,False,False,False,True,False
70.0,0,84652.97,1,5,0.3645,0.0625,20,2,8,False,False,True,False,False,False,False,True,False,False,True,False,False
49.0,0,51944.78,2,7,0.1069,0.051,20,3,4,True,False,False,False,False,True,False,False,False,False,True,False,False
21.0,2,48634.92,2,8,0.1038,0.043,20,5,8,False,False,True,False,False,False,True,False,False,False,False,True,False
51.0,1,60914.57,1,5,0.0683,0.0556,20,0,3,False,False,False,True,False,False,False,False,True,False,False,False,True
36.0,2,11892.93,2,5,0.1221,0.0612,20,6,1,True,False,False,False,False,False,False,False,True,False,True,False,False
28.0,0,85270.6,0,4,0.3224,0.0709,20,6,7,False,False,False,True,False,False,True,False,False,False,False,True,False
33.0,0,18969.96,2,3,0.0858,0.0424,20,3,8,False,True,False,False,False,False,True,False,False,False,True,False,False
60.0,0,25592.38,0,6,0.1135,0.003,20,0,11,False,True,False,False,True,False,False,False,False,False,False,False,True
23.0,1,46397.3,0,3,0.5816,0.0513,20,2,12,True,False,False,False,False,False,True,False,False,False,False,False,True
22.0,1,50278.03,0,3,0.2029,0.0368,20,1,10,False,False,True,False,False,False,False,False,True,False,False,False,True
33.0,0,53430.69,0,2,0.0192,0.0461,20,2,10,False,False,True,False,False,False,False,False,True,False,True,False,False
25.0,0,62058.98,2,6,0.3087,0.0506,20,3,11,False,True,False,False,False,False,False,False,False,True,False,True,False
51.0,0,51146.08,0,5,0.2215,0.0249,20,5,8,True,False,False,False,False,False,False,True,False,False,True,False,False
18.0,1,97146.85,0,5,0.0673,0.0431,20,2,1,True,False,False,False,False,False,True,False,False,False,False,True,False
36.0,1,45833.33,2,3,0.1868,0.0128,20,0,6,True,False,False,False,True,False,False,False,False,False,True,False,False
28.0,1,40966.93,0,6,0.2644,0.0386,20,2,12,False,False,True,False,False,False,False,False,False,True,False,False,True
27.0,1,45165.85,0,9,0.2373,0.0536,20,2,8,True,False,False,False,False,False,False,False,False,True,False,False,True
63.0,1,59326.49,2,7,0.1706,0.0524,20,1,12,True,False,False,False,False,False,False,False,False,True,True,False,False
49.0,1,37347.22,2,2,0.0215,0.0196,20,1,11,True,False,False,False,False,False,False,False,False,True,False,False,True
36.0,0,52417.55,0,4,0.1839,0.0875,20,1,11,False,False,True,False,False,False,False,False,True,False,False,False,True
36.0,0,54298.77,1,3,0.2166,0.0238,20,6,7,True,False,False,False,False,True,False,False,False,False,False,True,False
47.0,0,76878.53,2,2,0.1634,0.0584,20,4,5,True,False,False,False,False,False,False,False,False,True,True,False,False
19.0,0,75503.0,1,0,0.1322,0.0603,20,5,4,True,False,False,False,False,False,False,True,False,False,False,True,False
36.0,0,40989.37,2,5,0.0976,0.0665,20,5,8,True,False,False,False,True,False,False,False,False,False,True,False,False
52.0,0,38487.22,0,4,0.0248,0.0608,20,4,8,False,True,False,False,False,True,False,False,False,False,False,False,True
39.0,0,78126.88,0,6,0.1779,0.0315,20,2,7,False,False,True,False,False,False,False,False,True,False,False,True,False
48.0,0,20243.96,2,11,0.2485,0.0607,20,1,5,False,False,True,False,False,False,True,False,False,False,True,False,False
39.0,2,39923.75,2,5,0.0663,0.0675,20,2,9,False,True,False,False,False,False,False,True,False,False,False,False,True
47.0,0,69680.47,0,3,0.1445,0.0456,20,3,12,False,False,False,True,False,True,False,False,False,False,True,False,False
25.0,0,28311.37,0,9,0.4679,0.0,20,2,3,True,False,False,False,False,False,False,True,False,False,False,False,True
19.0,1,44431.65,1,4,0.1548,0.0671,20,0,5,False,False,False,True,False,False,False,False,False,True,True,False,False
45.0,0,58831.02,0,5,0.1234,0.0495,20,2,5,False,True,False,False,False,True,False,False,False,False,True,False,False
22.0,0,47674.3,2,3,0.2847,0.0351,20,5,3,False,False,False,True,False,True,False,False,False,False,False,False,True
24.0,2,53515.64,2,7,0.1486,0.0259,20,5,11,False,True,False,False,False,False,True,False,False,False,False,True,False
28.0,1,64822.85,1,5,0.2065,0.0229,20,2,8,False,False,False,True,True,False,False,False,False,False,True,False,False
35.0,0,42662.36,1,8,0.1459,0.0156,20,2,2,False,False,False,True,False,False,False,False,False,True,True,False,False
29.0,1,35588.51,2,3,0.3702,0.0059,20,0,7,False,True,False,False,False,True,False,False,False,False,True,False,False
36.0,2,39951.96,0,5,0.2414,0.0453,20,2,11,False,False,True,False,False,True,False,False,False,False,False,True,False
25.0,1,54124.51,1,1,0.1491,0.0614,20,6,12,False,True,False,False,True,False,False,False,False,False,False,True,False
36.0,0,64483.56,0,4,0.0273,0.0257,20,0,1,False,True,False,False,False,False,False,False,False,True,True,False,False
44.0,1,81805.55,1,5,0.3002,0.0491,20,4,6,False,False,False,True,False,True,False,False,False,False,False,False,True
36.0,0,51865.55,0,4,0.1273,0.0426,20,2,7,False,True,False,False,False,False,False,False,False,True,False,True,False
18.0,0,36219.06,1,6,0.2544,0.0381,20,6,8,False,True,False,False,False,False,True,False,False,False,True,False,False
35.0,0,10019.72,2,4,0.3539,0.0729,20,5,5,True,False,False,False,False,True,False,False,False,False,True,False,False
23.0,2,41475.55,1,4,0.1573,0.0666,20,6,1,False,False,True,False,False,True,False,False,False,False,False,True,False
58.0,0,26523.66,1,5,0.2946,0.0706,20,4,6,False,False,True,False,False,False,False,False,True,False,False,False,True
36.0,1,72601.06,0,4,0.367,0.0331,20,0,12,False,False,False,True,False,False,True,False,False,False,False,True,False
39.0,0,58363.24,1,9,0.2353,0.0385,20,3,10,False,False,True,False,False,True,False,False,False,False,False,True,False
34.0,0,3737.92,0,5,0.1906,0.0447,20,5,1,False,True,False,False,False,False,False,False,True,False,False,False,True
36.0,0,61845.61,0,3,0.2381,0.0276,20,3,10,False,True,False,False,False,False,True,False,False,False,True,False,False
42.0,0,43997.24,2,5,0.2315,0.0436,20,4,3,False,False,False,True,False,False,False,False,True,False,False,False,True
32.0,0,84195.66,2,6,0.1386,0.0602,20,1,5,False,True,False,False,False,False,False,False,True,False,False,False,True
46.0,1,26808.65,2,3,0.1175,0.0473,20,5,11,False,False,False,True,False,False,False,False,False,True,True,False,False
47.0,2,7413.33,2,5,0.2326,0.0441,20,6,9,True,False,False,False,False,False,False,False,False,True,False,False,True
67.0,1,43385.61,0,5,0.0557,0.0529,20,4,8,False,True,False,False,False,True,False,False,False,False,False,False,True
55.0,0,75204.79,2,7,0.1795,0.0406,20,1,8,False,False,True,False,False,False,False,True,False,False,False,True,False
29.0,1,35780.37,2,8,0.3677,0.0724,20,1,4,False,False,True,False,False,False,False,False,True,False,False,True,False
31.0,2,85215.63,1,1,0.266,0.0223,20,5,2,False,False,False,True,False,False,True,False,False,False,False,True,False
51.0,2,36943.76,2,4,0.0912,0.012,20,4,9,False,False,False,True,True,False,False,False,False,False,False,False,True
44.0,2,82934.94,0,4,0.1029,0.0566,20,5,3,True,False,False,False,True,False,False,False,False,False,False,False,True
44.0,0,31034.83,2,5,0.1128,0.0364,20,1,11,False,False,False,True,True,False,False,False,False,False,True,False,False
36.0,1,33305.54,0,0,0.1628,0.0585,20,3,8,True,False,False,False,False,False,False,True,False,False,True,False,False
34.0,1,36918.86,0,4,0.1298,0.035,20,0,6,True,False,False,False,False,True,False,False,False,False,True,False,False
23.0,0,43768.36,1,6,0.1343,0.0504,20,4,9,False,False,False,True,True,False,False,False,False,False,True,False,False
39.0,0,17717.62,0,2,0.0083,0.0349,20,1,5,False,False,True,False,False,False,False,True,False,False,False,True,False
33.0,1,28537.82,1,8,0.2914,0.0789,20,1,10,True,False,False,False,False,False,False,False,True,False,False,True,False
48.0,1,50853.47,2,5,0.1429,0.0438,20,3,7,False,True,False,False,True,False,False,False,False,False,True,False,False
39.0,0,28002.1,1,4,0.0751,0.0463,20,5,4,True,False,False,False,False,True,False,False,False,False,False,False,True
46.0,0,70979.44,0,6,0.0948,0.0207,20,6,4,True,False,False,False,False,False,False,False,False,True,False,True,False
28.0,0,78160.75,0,4,0.3185,0.0446,20,3,10,False,False,True,False,True,False,False,False,False,False,False,True,False
20.0,1,42257.74,1,6,0.1056,0.0354,20,3,2,False,False,False,True,False,False,False,True,False,False,False,False,True
28.0,0,55705.25,1,5,0.4735,0.0213,20,1,9,False,True,False,False,True,False,False,False,False,False,False,False,True
34.0,1,77081.2,0,2,0.2868,0.0241,20,6,7,False,False,True,False,False,False,True,False,False,False,False,False,True
40.0,2,60000.62,1,5,0.2184,0.0854,20,6,1,False,True,False,False,False,False,True,False,False,False,False,True,False
68.0,1,49612.53,2,4,0.2966,0.0615,20,4,8,False,False,False,True,True,False,False,False,False,False,True,False,False
34.0,0,73259.01,1,5,0.0677,0.031,20,6,7,False,False,False,True,False,False,False,False,False,True,False,True,False
20.0,0,85414.13,2,1,0.1453,0.0677,20,4,5,True,False,False,False,False,False,False,False,False,True,False,False,True
29.0,1,34452.6,0,8,0.1749,0.0726,20,1,1,True,False,False,False,False,False,False,True,False,False,False,False,True
28.0,1,66322.31,2,6,0.2929,0.0611,20,2,11,False,True,False,False,False,False,False,True,False,False,True,False,False
42.0,1,37851.4,2,5,0.1909,0.0497,20,3,6,False,False,False,True,False,False,True,False,False,False,True,False,False
36.0,0,88697.0,1,5,0.3046,0.0306,20,0,4,False,False,True,False,True,False,False,False,False,False,False,False,True
35.0,0,35363.82,0,6,0.1012,0.0832,20,0,7,False,False,False,True,True,False,False,False,False,False,False,False,True
37.0,1,69293.36,1,5,0.1911,0.0879,20,5,12,False,False,True,False,False,False,True,False,False,False,False,False,True
38.0,0,59824.7,1,9,0.1913,0.0269,20,0,4,True,False,False,False,True,False,False,False,False,False,False,True,False
26.0,1,60010.55,2,8,0.0606,0.0606,20,5,12,False,False,True,False,False,False,False,False,True,False,True,False,False
31.0,1,46226.38,1,6,0.3089,0.051,20,4,7,False,False,True,False,False,False,True,False,False,False,True,False,False
36.0,1,62937.4,0,6,0.1447,0.0409,20,5,3,False,True,False,False,False,False,False,False,False,True,True,False,False
27.0,1,37768.33,1,3,0.0229,0.0147,20,3,4,False,False,False,True,False,True,False,False,False,False,False,False,True
26.0,1,21958.91,0,7,0.229,0.0843,20,3,11,True,False,False,False,False,False,False,False,True,False,True,False,False
41.0,1,44950.7,2,6,0.2252,0.0657,20,1,5,False,True,False,False,True,False,False,False,False,False,False,True,False
36.0,1,50016.9,2,7,0.0122,0.0065,20,5,10,False,False,True,False,False,False,False,True,False,False,False,False,True
46.0,0,42295.08,1,3,0.2064,0.0377,20,2,12,False,False,True,False,False,False,False,False,False,True,False,False,True
57.0,2,55183.82,1,7,0.0629,0.0375,20,3,3,False,True,False,False,False,True,False,False,False,False,False,False,True
36.0,0,44634.6,1,5,0.1974,0.0687,20,3,1,True,False,False,False,True,False,False,False,False,False,True,False,False
41.0,0,18553.82,2,8,0.2924,0.0694,20,6,11,False,True,False,False,True,False,False,False,False,False,True,False,False
